2024-09-08 10:07:49.109 +05:00 [INF] HTTP GET /assets/js/plugins/chart.js/chart.min.js responded 200 in 64.6458 ms
2024-09-08 10:07:49.118 +05:00 [INF] HTTP GET /assets/js/dashmix.app.min.js responded 200 in 22.8094 ms
2024-09-08 10:07:49.121 +05:00 [INF] HTTP GET /assets/css/dashmix.min.css responded 200 in 131.1446 ms
2024-09-08 10:07:49.153 +05:00 [INF] HTTP GET /assets/css/style.bundle.css responded 200 in 163.0111 ms
2024-09-08 10:07:49.156 +05:00 [INF] HTTP GET /assets/css/plugins.bundle.css responded 200 in 166.1243 ms
2024-09-08 10:07:49.158 +05:00 [INF] HTTP GET /assets/js/scripts.bundle.js responded 200 in 3.9113 ms
2024-09-08 10:07:49.191 +05:00 [INF] HTTP GET /assets/js/plugins.bundle.js responded 200 in 68.8139 ms
2024-09-08 10:07:49.567 +05:00 [INF] HTTP GET /assets/js/widgets.js responded 200 in 12.2694 ms
2024-09-08 10:07:49.589 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-regular.woff2 responded 200 in 20.3188 ms
2024-09-08 10:07:49.592 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-600.woff2 responded 200 in 2.6238 ms
2024-09-08 10:07:49.580 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-500.woff2 responded 200 in 12.3444 ms
2024-09-08 10:07:49.606 +05:00 [INF] HTTP GET /assets/js/widgets.bundle.js responded 200 in 97.1960 ms
2024-09-08 10:07:49.608 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 39.0153 ms
2024-09-08 10:07:49.608 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 15.8328 ms
2024-09-08 10:07:49.606 +05:00 [INF] HTTP GET /assets/js/chat.js responded 200 in 26.0588 ms
2024-09-08 10:07:49.625 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 0.6808 ms
2024-09-08 10:07:49.625 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 0.5520 ms
2024-09-08 10:07:49.803 +05:00 [INF] HTTP GET /assets/js/chart.umd.js.map responded 404 in 8.5324 ms
2024-09-08 10:07:49.807 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-regular-400.woff2 responded 200 in 3.9116 ms
2024-09-08 10:07:49.809 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-solid-900.woff2 responded 200 in 14.8019 ms
2024-09-08 10:07:50.477 +05:00 [INF] HTTP GET /~/assets/media/favicons/favicon.png responded 404 in 4.7612 ms
2024-09-08 10:07:50.501 +05:00 [INF] HTTP GET /~/assets/media//favicons/favicon-192x192.png responded 404 in 4.6166 ms
2024-09-08 10:09:44.498 +05:00 [WRN] Failed to determine the https port for redirect.
2024-09-08 10:09:47.219 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 2731.0256 ms
2024-09-08 10:09:47.449 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 26.1354 ms
2024-09-08 10:09:47.457 +05:00 [INF] HTTP GET /assets/js/lib/jquery.min.js responded 200 in 43.1538 ms
2024-09-08 10:09:47.457 +05:00 [INF] HTTP GET /assets/css/dashmix.min.css responded 200 in 139.8308 ms
2024-09-08 10:09:47.457 +05:00 [INF] HTTP GET /js/global.js responded 200 in 39.3614 ms
2024-09-08 10:09:47.466 +05:00 [INF] HTTP GET /assets/css/plugins.bundle.css responded 200 in 52.7018 ms
2024-09-08 10:09:47.489 +05:00 [INF] HTTP GET /assets/js/plugins/chart.js/chart.min.js responded 200 in 18.7985 ms
2024-09-08 10:09:47.502 +05:00 [INF] HTTP GET /assets/js/dashmix.app.min.js responded 200 in 10.5082 ms
2024-09-08 10:09:47.516 +05:00 [INF] HTTP GET /assets/css/style.bundle.css responded 200 in 102.8646 ms
2024-09-08 10:09:48.023 +05:00 [INF] HTTP GET /assets/js/scripts.bundle.js responded 200 in 5.8674 ms
2024-09-08 10:09:48.037 +05:00 [INF] HTTP GET /assets/js/chat.js responded 200 in 3.2292 ms
2024-09-08 10:09:48.056 +05:00 [INF] HTTP GET /assets/js/widgets.bundle.js responded 200 in 20.6511 ms
2024-09-08 10:09:48.057 +05:00 [INF] HTTP GET /assets/js/widgets.js responded 200 in 23.2748 ms
2024-09-08 10:09:48.077 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-600.woff2 responded 200 in 4.2736 ms
2024-09-08 10:09:48.077 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-500.woff2 responded 200 in 4.3494 ms
2024-09-08 10:09:48.087 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-regular.woff2 responded 200 in 14.6812 ms
2024-09-08 10:09:48.088 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 15.8717 ms
2024-09-08 10:09:48.089 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 11.4531 ms
2024-09-08 10:09:48.110 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 1.0009 ms
